"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","15m","2025-12-19T04:45:00Z","64.9805","65.045","64.8047","64.8297","1640"
"XAGUSD","15m","2025-12-19T05:00:00Z","64.8245","64.884","64.47","64.7835","2425"
"XAGUSD","15m","2025-12-19T05:15:00Z","64.779","65.2547","64.7787","65.18","2243"
"XAGUSD","15m","2025-12-19T05:30:00Z","65.185","65.225","65.0745","65.1667","961"
"XAGUSD","15m","2025-12-19T05:45:00Z","65.1667","65.2077","65.0926","65.112","1046"
"XAGUSD","15m","2025-12-19T06:00:00Z","65.1167","65.1843","65.091","65.172","961"
"XAGUSD","15m","2025-12-19T06:15:00Z","65.173","65.1787","65.083","65.113","937"
"XAGUSD","15m","2025-12-19T06:30:00Z","65.113","65.3835","65.1067","65.2813","1168"
"XAGUSD","15m","2025-12-19T06:45:00Z","65.2813","65.441","65.272","65.4117","1979"
"XAGUSD","15m","2025-12-19T07:00:00Z","65.4117","65.4817","65.2753","65.3115","1272"
"XAGUSD","15m","2025-12-19T07:15:00Z","65.3117","65.3567","65.2413","65.3415","1215"
"XAGUSD","15m","2025-12-19T07:30:00Z","65.3415","65.818","65.327","65.7287","3945"
"XAGUSD","15m","2025-12-19T07:45:00Z","65.7347","65.9637","65.7337","65.8397","3051"
"XAGUSD","15m","2025-12-19T08:00:00Z","65.8397","65.949","65.7104","65.905","2348"
"XAGUSD","15m","2025-12-19T08:15:00Z","65.905","66.0053","65.7183","65.7427","2481"
"XAGUSD","15m","2025-12-19T08:30:00Z","65.7427","65.844","65.588","65.687","2552"
"XAGUSD","15m","2025-12-19T08:45:00Z","65.688","65.864","65.613","65.8024","2119"
"XAGUSD","15m","2025-12-19T09:00:00Z","65.802","65.8777","65.727","65.7883","1632"
"XAGUSD","15m","2025-12-19T09:15:00Z","65.7883","65.8287","65.73","65.8147","1186"
"XAGUSD","15m","2025-12-19T09:30:00Z","65.814","65.871","65.744","65.7847","889"
"XAGUSD","15m","2025-12-19T09:45:00Z","65.784","65.7953","65.658","65.708","1140"
"XAGUSD","15m","2025-12-19T10:00:00Z","65.701","65.8283","65.6765","65.729","1248"
"XAGUSD","15m","2025-12-19T10:15:00Z","65.726","65.8283","65.676","65.741","1019"
"XAGUSD","15m","2025-12-19T10:30:00Z","65.74","65.911","65.74","65.8673","1403"
"XAGUSD","15m","2025-12-19T10:45:00Z","65.8663","65.926","65.813","65.817","1126"
