"symbol","tf","time","open","high","low","close","volume"
"XAUUSD","15m","2025-12-19T04:45:00Z","4316.07","4318.74","4314.24","4316.77","2994"
"XAUUSD","15m","2025-12-19T05:00:00Z","4316.75","4317.98","4312.74","4316.4","3603"
"XAUUSD","15m","2025-12-19T05:15:00Z","4316.41","4321.7","4313.11","4319.35","3554"
"XAUUSD","15m","2025-12-19T05:30:00Z","4319.48","4322.5","4317.4","4319.6","2402"
"XAUUSD","15m","2025-12-19T05:45:00Z","4319.53","4320.93","4317.62","4318.08","1873"
"XAUUSD","15m","2025-12-19T06:00:00Z","4318.13","4319.85","4317.78","4319.14","1471"
"XAUUSD","15m","2025-12-19T06:15:00Z","4319.16","4319.93","4316.96","4317.41","4277"
"XAUUSD","15m","2025-12-19T06:30:00Z","4317.44","4321.65","4317.32","4320.5","4281"
"XAUUSD","15m","2025-12-19T06:45:00Z","4320.49","4323.05","4319.7","4322.8","2973"
"XAUUSD","15m","2025-12-19T07:00:00Z","4323.03","4323.9","4318.56","4318.84","2193"
"XAUUSD","15m","2025-12-19T07:15:00Z","4318.77","4320.77","4317.65","4320.03","1509"
"XAUUSD","15m","2025-12-19T07:30:00Z","4320.05","4326.53","4320.03","4325.23","4226"
"XAUUSD","15m","2025-12-19T07:45:00Z","4325.24","4329.08","4324.97","4325.98","7231"
"XAUUSD","15m","2025-12-19T08:00:00Z","4325.96","4327.49","4324.18","4327.17","4066"
"XAUUSD","15m","2025-12-19T08:15:00Z","4327.35","4329.54","4326.31","4327.26","4840"
"XAUUSD","15m","2025-12-19T08:30:00Z","4327.32","4328.21","4321.72","4324.13","5299"
"XAUUSD","15m","2025-12-19T08:45:00Z","4324.07","4327.28","4322.55","4326.43","4719"
"XAUUSD","15m","2025-12-19T09:00:00Z","4326.43","4328.56","4323.11","4327.43","3718"
"XAUUSD","15m","2025-12-19T09:15:00Z","4327.38","4327.91","4323.33","4327.64","3699"
"XAUUSD","15m","2025-12-19T09:30:00Z","4327.59","4329.69","4325.06","4325.14","2499"
"XAUUSD","15m","2025-12-19T09:45:00Z","4325.16","4325.36","4321.65","4322.84","3487"
"XAUUSD","15m","2025-12-19T10:00:00Z","4322.69","4324.7","4321.12","4322.89","2783"
"XAUUSD","15m","2025-12-19T10:15:00Z","4322.8","4326.14","4322.37","4325.16","2594"
"XAUUSD","15m","2025-12-19T10:30:00Z","4325.12","4331.06","4324.92","4327.98","3567"
"XAUUSD","15m","2025-12-19T10:45:00Z","4327.98","4328.75","4326.04","4326.06","2806"
